시군코드,시군명,사업장명,소재지지번주소,소재지도로명주소,인허가일자,영업상태명,소재지우편번호,약국영업면적,인허가구분명,지정일자,WGS84경도,WGS84위도
41570,김포시,대명약국,경기도 김포시 통진읍 서암리 714번지 4호,경기도 김포시 통진읍 조강로36번길 14,20031101,운영중,,1,약국,20031101,126.6017322825556,37.69009510354231
41570,김포시,청송약국,경기도 김포시 장기동 1342번지 청송마을상가동 109호,"경기도 김포시 청송로 18, 109호 (장기동, 청송마을 상가동)",20040102,운영중,415060,1,약국,20040102,126.66902200158339,37.64763291647
41570,김포시,삼성약국,경기도 김포시 대곶면 율생리 515번지,경기도 김포시 대곶면 율생로 83,20050518,운영중,,1,약국,20050518,126.58262615310487,37.65040059052392
41570,김포시,해바른봄날약국,경기도 김포시 풍무동 598번지 8호 당곡마을상가 107호,"경기도 김포시 풍무로 34, 107호 (풍무동, 당곡마을 상가)",20050607,운영중,415809,1,약국,20050607,,
41570,김포시,뉴하나메디칼약국,경기도 김포시 사우동 937번지 하나메디칼센타 101호,"경기도 김포시 김포대로 859, 101호 (사우동, 하나메디칼센타)",20050805,운영중,415803,1,약국,20050805,126.71839771284263,37.62038925219243
41570,김포시,하나팜약국,경기도 김포시 사우동 938번지 로얄프라자  102호,"경기도 김포시 돌문로 50-20, 102호 (사우동, 로얄프라자)",20050920,운영중,415803,1,약국,20050920,126.71821755483332,37.62010411088486
41570,김포시,온누리종로약국,경기도 김포시 장기동 564번지 전원마을 상가동 108호,"경기도 김포시 전원로 32, 108호 (장기동, 전원마을 상가동)",20051101,운영중,415805,1,약국,20051101,126.68348096224481,37.64650132177163
41570,김포시,풍무한미약국,경기도 김포시 풍무동 115번지 24호,경기도 김포시 양도로 2 (풍무동),20060315,운영중,,1,약국,20060315,126.72282174821932,37.60644525484363
41570,김포시,하성약국,경기도 김포시 하성면 마곡리 635번지 27호,"경기도 김포시 하성면 태산로 15, 1층",20060428,운영중,415882,48.4,약국,20060428,126.6312178847301,37.71877697640778
41570,김포시,후암사랑샘약국,경기도 김포시 양촌읍 양곡리 414번지 3호,경기도 김포시 양촌읍 양곡로 537,20061115,운영중,415845,1,약국,20061115,126.62426431667733,37.65467784858446
41570,김포시,그랜드약국,경기도 김포시 풍무동 38번지 1호 삼성홈플러스,"경기도 김포시 풍무로 167, 1층 (풍무동, 삼성홈플러스)",20070220,운영중,415808,1,약국,20070220,126.72412246154173,37.6099621514096
41570,김포시,정수팜약국,경기도 김포시 감정동 551번지 8호 이삼메디칼센타,"경기도 김포시 중봉1로 12, 103호 (감정동, 이삼메디칼센타)",20071010,운영중,415010,1,약국,20071010,126.69950268216348,37.62298072987429
41570,김포시,센타약국,경기도 김포시 장기동 564번지 전원마을상가동 112호,"경기도 김포시 전원로 32, 112호 (장기동, 전원마을상가동)",20080303,운영중,415805,36,약국,20080303,126.68348096224481,37.64650132177163
41570,김포시,중앙메디칼약국,경기도 김포시 월곶면 포내리 81번지 11호 나동,"경기도 김포시 월곶면 김포대로 2947, 나동",20080402,운영중,,101,약국,20080402,126.53673251662154,37.72411243205561
41570,김포시,푸른온누리약국,경기도 김포시 고촌읍 신곡리 1256번지 수기마을힐스테이트아파트 2단지상가동,"경기도 김포시 고촌읍 수기로 67-39, 102호 (수기마을힐스테이트2단지 상가동)",20080515,운영중,415810,26,약국,20080515,126.76900612423887,37.5973618120637
41570,김포시,이레약국,경기도 김포시 풍무동 407번지 19호,경기도 김포시 풍무로 85 (풍무동),20090105,운영중,,67.63,약국,20090105,126.721411152081,37.60327406195626
41570,김포시,동서약국,경기도 김포시 장기동 1622번지 동서메디칼빌딩 1층,"경기도 김포시 김포한강1로51번길 12, 1층 (장기동, 동서메디칼빌딩)",20081124,운영중,415060,117.56,약국,20081124,126.66774342868436,37.643654198867
41570,김포시,신대곶약국,경기도 김포시 대곶면 율생리 338번지 12호,경기도 김포시 대곶면 율생중앙로 24,20080701,운영중,,58,약국,20080701,126.58337414820127,37.65038161112173
41570,김포시,다솜약국,경기도 김포시 장기동 1766번지 102호,"경기도 김포시 김포한강3로 287, 102호 (장기동)",20090501,운영중,,165,약국,20090501,126.65979976682756,37.64136108948969
